,Country,Capital,Coordinates,count,sum,median,mean
0,Armenia,Jerewan,40.18799033055038; 44.516029958561965,8631,11186675.0,1150.0,1296.1041
1,Cambodia,Phnom Penh,11.564518491643906; 104.89841106463936,34836,18817100.0,275.0,540.1625
2,Colombia,Bogotá,4.713292163409229; -74.07211715281332,21995,12473775.0,425.0,567.11865
3,Ecuador,Quito,-0.17354737811180287; -78.46625954287789,13521,14598900.0,1000.0,1079.7205
4,El Salvador,San Salvador,13.694310096024847; -89.21696931004769,39875,23357724.0,500.0,585.7736
5,Kenya,Nairobi,-1.2932537987664454; 36.82267369802029,75825,32248404.0,300.0,425.3004
6,Kyrgyzstan,Bischkek,42.876845505181976; 74.57400533046751,5774,6728550.0,1012.5,1165.3187
7,Mali,Bamako,12.639045154827919; -7.99654683455845,6639,8340850.0,975.0,1256.3413
8,Nigeria,Abuja,9.077477365001288; 7.398022448989082,10136,1905325.0,125.0,187.97603
9,Pakistan,Islamabad,33.69259616410156; 73.0579425680899,26857,12467100.0,400.0,464.203
10,Peru,Lima,-12.04539341672731; -77.03860632346935,22233,30394850.0,900.0,1367.1052
11,Philippines,Manila,14.600964415006894; 120.97805624501959,160441,54476376.0,275.0,339.5415
12,Tajikistan,Duschanbe,38.56344265385061; 68.79393753620116,19580,13781775.0,575.0,703.87
13,Vietnam,Hanoi,21.027205306433043; 105.84213085530243,10843,13661700.0,900.0,1259.9557
